country,year,inv,gdppc,remit,aid,lendint,open,gs
Botswana,1981 ,35.77629382,1213.88156,6.94490818,8.983878344,9.625,121.2353923,28.84808013
Botswana,1982 ,32.17070954,1314.693598,5.559542606,9.965063547,24.20833333,123.8361801,27.39581838
Botswana,1983 ,27.2310145,1437.677432,4.767274565,8.796904137,13.375,124.6490648,28.90694871
Botswana,1984 ,26.33065392,1509.20752,4.028428664,8.214716727,12,118.7734707,25.35303063
Botswana,1985 ,22.82939249,1564.307997,2.805346661,8.577449947,11.5,117.5228082,32.42886442
Botswana,1986 ,22.36424777,1638.161391,2.674920708,7.228195644,11,117.4595896,36.24708625
Botswana,1987 ,27.5284134,1775.485706,2.76405516,7.878987684,10,123.5717533,38.70283376
Botswana,1988 ,29.95678068,2055.763766,2.06791017,5.664469323,7.833333333,114.4515902,49.81905786
Botswana,1989 ,31.43774493,2254.251209,1.601339009,5.12156607,7.666666667,105.3608646,47.47929927
Botswana,1990 ,32.35588137,2335.83437,2.257403561,3.831018715,7.875,104.8473204,41.64781952
Botswana,1991 ,31.27121036,2437.414831,2.117742998,3.324222091,11.83333333,99.55838535,44.99639306
Botswana,1992 ,29.5505207,2437.701909,2.266829753,2.683249734,14,89.75125459,41.39850707
Botswana,1993 ,26.94635134,2416.589463,1.785643427,3.122469768,14.91666667,86.20739256,43.84101821
Botswana,1994 ,25.52868388,2438.874824,1.610079228,1.962632541,13.91666667,88.04026482,33.23394395
Botswana,1995 ,25.57128746,2483.293334,1.239346464,1.875821795,14.41666667,89.00472178,36.02861918
Botswana,1996 ,24.78199788,2559.717672,1.044146241,1.551092664,14.5,92.01884622,39.80866367
Botswana,1997 ,24.97488135,2757.478268,0.929675176,2.345552449,13.94666667,97.617005,44.15713553
Botswana,1998 ,26.0617332,2986.009108,0.836284556,2.046933655,13.65083333,91.8164472,45.48079177
Botswana,1999 ,24.9417707,3078.101681,0.576508157,1.037933737,14.77583333,92.4840194,34.49710507
Botswana,2000 ,25.8374457,3204.115483,0.465958562,0.543621574,15.47916667,94.46604649,41.42557941
Botswana,2001 ,23.58123298,3268.358809,0.429573882,0.483448671,15.75,79.63234472,35.68184248
Botswana,2002 ,24.52901548,3516.207918,0.4457187,0.610523138,16.20833333,81.99641931,30.18711263
Botswana,2003 ,26.02284573,3691.882799,0.480691249,0.344387379,16.4,79.72793344,35.71210036
Botswana,2004 ,24.81840941,3865.861638,0.910780372,0.499368662,15.75,81.11628412,36.17374716
Burkina Faso,1980 ,14.11968469,152.6109611,7.799526818,10.88597684,14.5,40.21302867,9.299029583
Burkina Faso,1981 ,13.80871585,155.3067067,8.635956582,12.09735772,14.5,40.71152426,8.370865622
Burkina Faso,1982 ,17.2171028,166.024858,6.286996857,11.98039205,16,39.81975145,9.72110308
Burkina Faso,1983 ,17.26397342,162.4898993,7.074641432,11.31927899,14.5,37.45829724,10.75533728
Burkina Faso,1984 ,14.85305278,155.6087869,6.181177424,12.53390576,14.5,39.71870567,11.80984673
Burkina Faso,1985 ,19.1403974,164.588529,8.110940398,12.141116,14.5,40.94754697,18.61610271
Burkina Faso,1986 ,19.14394291,173.1345234,9.410453405,13.20579268,13.5,37.96172943,19.39933776
Burkina Faso,1987 ,19.965683,168.2585864,7.311905062,11.31639992,13.5,39.43994633,17.26262401
Burkina Faso,1988 ,18.45522718,173.3632998,7.149283312,10.96236859,13.58333333,38.12968227,16.9816467
Burkina Faso,1989 ,19.65497931,172.4287089,5.935923377,10.14227116,15.125,32.39475995,24.05958276
Burkina Faso,1990 ,17.74093187,166.8421459,4.503686164,10.52880785,16,35.42265044,15.90064016
Burkina Faso,1991 ,20.00185363,177.11119,3.603386557,13.38577027,16,33.79623643,18.11134787
Burkina Faso,1992 ,19.49376998,172.7467542,5.749943965,19.34503563,16.75,28.37401638,23.41080995
Burkina Faso,1993 ,18.75298704,173.8917479,5.026651144,20.08946749,,29.62508396,21.02001191
Burkina Faso,1994 ,25.71572879,171.3951387,4.239294033,22.82499535,,39.22922224,29.04359359
Burkina Faso,1995 ,22.47980673,176.2594225,3.285468037,20.59030463,,40.74747141,
Burkina Faso,1996 ,22.55213558,190.3330133,2.938649726,16.18912852,,38.18029777,
Burkina Faso,1997 ,24.22601591,196.8155274,3.016789203,15.05350539,,37.41641878,
Burkina Faso,1998 ,22.37186228,205.3908634,2.555253898,14.25931984,,40.93978358,
Burkina Faso,1999 ,18.92747751,214.4973957,2.321625788,13.22203045,,33.52470055,
Burkina Faso,2000 ,18.6949986,212.3764919,2.578941506,6.885592244,,34.26461778,5.120492184
Burkina Faso,2001 ,14.81305769,220.0186815,1.774556143,14.43164944,,32.3692329,3.442704633
Burkina Faso,2002 ,16.93562969,224.8136155,1.832239757,13.71852571,,30.87290647,8.460787912
Burkina Faso,2003 ,18.18070987,235.4767143,1.277968081,12.86233307,,30.73251815,12.3949976
Burkina Faso,2004 ,19.43928583,238.9906353,0.917988227,13.28000879,,37.12858447,10.51013386
Cameroon,1980 ,20.02552846,641.4318341,0.436039088,3.92774848,13,55.01613909,5.226645126
Cameroon,1981 ,24.57136558,729.4355953,0.3758972,2.596398834,13,50.28117841,10.53886884
Cameroon,1982 ,20.5937848,762.1234023,0.259728905,2.894749434,13,62.12539352,22.89431918
Cameroon,1983 ,21.11153717,791.6323343,0.379313879,1.729375877,14.5,59.70119087,21.27203153
Cameroon,1984 ,19.38028093,826.8077331,0.190080941,2.345466818,14.5,64.47202025,24.61828738
Cameroon,1985 ,17.18996846,867.9212259,0.14997152,1.871328137,14.5,65.02458838,23.40908971
Cameroon,1986 ,24.79571834,899.8275579,0.223480717,2.038290002,13.5,46.00580702,23.8331972
Cameroon,1987 ,24.53657747,854.8123204,0.103858364,1.651050115,13,37.32029527,18.67010304
Cameroon,1988 ,20.78481369,764.9579675,0.098626665,2.20622486,13.45833333,31.99460886,19.73516924
Cameroon,1989 ,18.16654893,729.3669958,0.292365519,4.063264651,15,38.47648379,17.75546677
Cameroon,1990 ,17.33476457,665.4106421,0.206179984,3.984906638,18.5,37.49644544,16.16496459
Cameroon,1991 ,16.64571014,622.2354314,0.059010989,4.151879555,18.15,34.63877935,15.43740568
Cameroon,1992 ,14.30538628,586.4431124,0.219458896,6.272029343,17.77,38.86259217,11.07766266
Cameroon,1993 ,13.61128825,552.4920757,0.150321032,4.017986137,17.46,31.74500625,8.80240885
Cameroon,1994 ,12.43333,524.6822672,0.123651004,7.918036877,17.5,38.02387135,11.07988606
Cameroon,1995 ,13.42718112,528.3640454,0.128694031,5.070290694,16,41.36912384,13.82842484
Cameroon,1996 ,13.57623013,541.3029119,0.137787698,4.214711776,22,41.77295279,14.13017798
Cameroon,1997 ,14.337172,555.517306,0.270160261,5.068517326,22,39.78808435,12.31185918
Cameroon,1998 ,14.89982614,570.0967274,0.38955472,5.164366121,22,39.13679388,15.60616712
Cameroon,1999 ,14.66435247,581.6360839,0.250048711,4.141437212,22,38.66667963,15.97255506
Cameroon,2000 ,16.30917284,592.3720003,0.324723966,4.056370088,22,54.00321726,16.14440186
Cameroon,2001 ,20.64774166,605.161077,0.210838015,4.751944443,20.66666667,56.81870093,12.54969612
Cameroon,2002 ,20.20207005,615.2922429,0.325346815,5.568587721,18,51.17198543,13.30329753
